spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,runp2p_success,runhybrid_success,succeeded
81f8af50,a9206d37,2019-07-30 22:20:02,BankEnable_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BankEnable_0/log/runproute.log,../gen/Tst_pirTest/BankEnable_0/log/runproute.sh,../gen/Tst_pirTest/BankEnable_0/plastisim/summary.csv,../gen/Tst_pirTest/BankEnable_0/pir/AccelMain.scala,../gen/Tst_pirTest/BankEnable_0/log/,../gen/Tst_pirTest/BankEnable_0/log/gentst.log,../gen/Tst_pirTest/BankEnable_0/pir/out/resource.csv,../gen/Tst_pirTest/BankEnable_0/log/maketst.log,../gen/Tst_pirTest/BankEnable_0/log/runp2p.log,../gen/Tst_pirTest/BankEnable_0/log/runhybrid.log,True,,,7.766012915,,18,18,1,1,2,2,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:19.70,0,0,594,36,4.50,0,101,0.0000,0.0000,0.0000,9,-nan,0.0000,,0:19.92,76,,True,False,True,,0.0,1.68421,0:00.16,124,,True,False,True,,0.0,1.03226,0:00.20,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,BlackScholes_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_0/log/runproute.log,../gen/Tst_pirTest/BlackScholes_0/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_0/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_0/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_0/log/,../gen/Tst_pirTest/BlackScholes_0/log/gentst.log,../gen/Tst_pirTest/BlackScholes_0/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_0/log/maketst.log,../gen/Tst_pirTest/BlackScholes_0/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_0/log/runhybrid.log,True,,,23.217609643,,18,18,7,8,8,36,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,6:37.92,0,0,1771,17920,6.50,0,8056,0.0000,0.0000,0.0000,13,-nan,0.0000,,0:57.14,2147,,True,False,True,,11.4467,1.90778,0:00.61,2182,,True,False,True,,11.2631,1.87718,0:01.26,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,BlackScholes_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BlackScholes_1/log/runproute.log,../gen/Tst_pirTest/BlackScholes_1/log/runproute.sh,../gen/Tst_pirTest/BlackScholes_1/plastisim/summary.csv,../gen/Tst_pirTest/BlackScholes_1/pir/AccelMain.scala,../gen/Tst_pirTest/BlackScholes_1/log/,../gen/Tst_pirTest/BlackScholes_1/log/gentst.log,../gen/Tst_pirTest/BlackScholes_1/pir/out/resource.csv,../gen/Tst_pirTest/BlackScholes_1/log/maketst.log,../gen/Tst_pirTest/BlackScholes_1/log/runp2p.log,../gen/Tst_pirTest/BlackScholes_1/log/runhybrid.log,True,,,22.691589307,,18,18,7,9,7,36,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,7:28.38,0,0,354435,0,7.50,0,125176,0.0000,0.0000,0.0000,15,-nan,0.0000,,0:50.75,36382,,True,False,True,,0.675499,0.112583,0:06.57,35434,,True,False,True,,0.693571,0.115595,0:14.92,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,BreakTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest/log/runproute.log,../gen/Tst_pirTest/BreakTest/log/runproute.sh,../gen/Tst_pirTest/BreakTest/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest/log/,../gen/Tst_pirTest/BreakTest/log/gentst.log,../gen/Tst_pirTest/BreakTest/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest/log/maketst.log,../gen/Tst_pirTest/BreakTest/log/runp2p.log,../gen/Tst_pirTest/BreakTest/log/runhybrid.log,True,,,5.695150341,,18,18,0,0,0,1,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,0:29.03,0,0,0,0,0.00,0,1000000,0.0000,0.0000,0.0000,0,-nan,0.0000,,0:17.38,87,,True,False,True,,0.0,0.0,0:00.17,89,,True,False,True,,0.0,0.0,0:00.17,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,BreakTest2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BreakTest2/log/runproute.log,../gen/Tst_pirTest/BreakTest2/log/runproute.sh,../gen/Tst_pirTest/BreakTest2/plastisim/summary.csv,../gen/Tst_pirTest/BreakTest2/pir/AccelMain.scala,../gen/Tst_pirTest/BreakTest2/log/,../gen/Tst_pirTest/BreakTest2/log/gentst.log,../gen/Tst_pirTest/BreakTest2/pir/out/resource.csv,../gen/Tst_pirTest/BreakTest2/log/maketst.log,../gen/Tst_pirTest/BreakTest2/log/runp2p.log,../gen/Tst_pirTest/BreakTest2/log/runhybrid.log,True,,,6.771222088,,18,18,0,0,0,2,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,0:33.60,0,0,20,0,1.00,0,1000010,0.0000,0.0000,0.0000,2,-nan,0.0000,,0:16.70,23,,True,False,True,,0.0,0.0,0:00.16,31,,True,False,True,,0.0,0.0,0:00.18,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,BroadcastTest,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/BroadcastTest/log/runproute.log,../gen/Tst_pirTest/BroadcastTest/log/runproute.sh,../gen/Tst_pirTest/BroadcastTest/plastisim/summary.csv,../gen/Tst_pirTest/BroadcastTest/pir/AccelMain.scala,../gen/Tst_pirTest/BroadcastTest/log/,../gen/Tst_pirTest/BroadcastTest/log/gentst.log,../gen/Tst_pirTest/BroadcastTest/pir/out/resource.csv,../gen/Tst_pirTest/BroadcastTest/log/maketst.log,../gen/Tst_pirTest/BroadcastTest/log/runp2p.log,../gen/Tst_pirTest/BroadcastTest/log/runhybrid.log,True,,,13.73836354,,18,18,2,3,2,8,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:50.39,0,0,1088,3420,5.00,0,1704,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:24.02,545,,True,False,True,,0.234862,7.5156,0:00.20,493,,True,False,True,,0.259635,8.30832,0:00.32,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,DotProduct_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_0/log/runproute.log,../gen/Tst_pirTest/DotProduct_0/log/runproute.sh,../gen/Tst_pirTest/DotProduct_0/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_0/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_0/log/,../gen/Tst_pirTest/DotProduct_0/log/gentst.log,../gen/Tst_pirTest/DotProduct_0/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_0/log/maketst.log,../gen/Tst_pirTest/DotProduct_0/log/runp2p.log,../gen/Tst_pirTest/DotProduct_0/log/runhybrid.log,True,,,9.881600867,,18,18,0,0,0,0,4,4,1,1,route_min_directed_valient,checkerboard,4,3,-1,4,,1:28.52,0,0,213,448,5.00,0,419,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:20.93,299,,True,False,True,,27.398,0.0,0:00.19,353,,True,False,True,,23.2068,0.0,0:00.23,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,DotProduct_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_1/log/runproute.log,../gen/Tst_pirTest/DotProduct_1/log/runproute.sh,../gen/Tst_pirTest/DotProduct_1/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_1/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_1/log/,../gen/Tst_pirTest/DotProduct_1/log/gentst.log,../gen/Tst_pirTest/DotProduct_1/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_1/log/maketst.log,../gen/Tst_pirTest/DotProduct_1/log/runp2p.log,../gen/Tst_pirTest/DotProduct_1/log/runhybrid.log,True,,,9.486456886,,18,18,2,2,2,2,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:29.65,0,0,7319,0,5.00,0,4259,0.0000,0.0000,0.0000,10,-nan,0.0000,,0:20.21,1131,,True,False,True,,7.24315,0.0,0:00.16,1187,,True,False,True,,6.90143,0.0,0:00.44,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,DotProduct_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_2/log/runproute.log,../gen/Tst_pirTest/DotProduct_2/log/runproute.sh,../gen/Tst_pirTest/DotProduct_2/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_2/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_2/log/,../gen/Tst_pirTest/DotProduct_2/log/gentst.log,../gen/Tst_pirTest/DotProduct_2/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_2/log/maketst.log,../gen/Tst_pirTest/DotProduct_2/log/runp2p.log,../gen/Tst_pirTest/DotProduct_2/log/runhybrid.log,True,,,13.532922113,,18,18,4,4,4,3,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:56.24,0,0,11464,0,5.50,0,4261,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:22.12,624,,True,False,True,,13.1282,0.0,0:00.19,680,,True,False,True,,12.0471,0.0,0:00.33,True,True,True
81f8af50,a9206d37,2019-07-30 22:20:02,DotProduct_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_3/log/runproute.log,../gen/Tst_pirTest/DotProduct_3/log/runproute.sh,../gen/Tst_pirTest/DotProduct_3/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_3/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_3/log/,../gen/Tst_pirTest/DotProduct_3/log/gentst.log,../gen/Tst_pirTest/DotProduct_3/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_3/log/maketst.log,../gen/Tst_pirTest/DotProduct_3/log/runp2p.log,../gen/Tst_pirTest/DotProduct_3/log/runhybrid.log,True,,,13.020495434,,18,18,4,4,4,3,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,1:58.39,0,0,168,1280,5.50,0,421,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:23.59,234,,True,False,True,,35.0085,0.0,0:00.21,292,,True,False,True,,28.0548,0.0,0:00.25,True,True,True
